cat_name,likes_to_views_2018,likes_to_views_2020
Sports,1.9887436838547368,2.5858848229010305
Autos & Vehicles,1.9935539980393528,5.251247061582483
News & Politics,2.188774294950729,1.678834837484864
Travel & Events,2.419783563967542,5.350628628959911
Entertainment,2.7084559697193535,6.905154241413607
Film & Animation,2.7403534106259024,5.366740440803614
People & Blogs,2.8511726847344536,6.532402266554524
Science & Technology,3.292407121277209,3.82621359933025
Howto & Style,3.3219888872332306,6.121260606358674
Pets & Animals,3.8250164974423857,5.139243264987362
Education,3.966003676179314,7.010181878259438
Music,4.211576087674777,7.507792094081592
Gaming,4.484776497731397,4.999523491387079
Comedy,5.102045510892208,9.529651824992069
