cat_name,likes_to_views_2018,likes_to_views_2020
Travel & Events,0.6405209535215294,3.3333798846212037
Autos & Vehicles,1.1578330217959882,5.606231408992367
Science & Technology,1.8023943394221265,3.6718933163236414
Film & Animation,1.872873976254505,5.24381868097497
People & Blogs,1.9205614436854561,6.379378670983953
Music,2.0647742356749257,8.05939286174015
Sports,2.467746085154317,2.695998001432997
Entertainment,2.5020336727906067,6.550022051859528
Pets & Animals,2.6803844491139017,5.288300126218631
News & Politics,3.285271106849192,1.5361620973384293
Comedy,3.612823791239949,8.950285424916528
Education,4.121799436016829,7.479631461281396
Gaming,4.288928067345995,5.042603228130909
Howto & Style,4.894230338445364,6.3132022434551125
