cat_name,likes_2018,likes_2020
Autos & Vehicles,6595338,47126002
Travel & Events,6335731,4403778
Film & Animation,224788551,140937638
News & Politics,47146279,28013042
Sports,169692485,206750255
Music,2896947716,3280370080
Science & Technology,76168898,213157550
People & Blogs,213771005,462501395
Entertainment,794700801,1308107137
Pets & Animals,22149635,14649611
Education,47858556,85911538
Gaming,102845682,515437678
Howto & Style,136562339,131067656
Comedy,280667076,345219549
Nonprofits & Activism,14716813,651744
