cat_name,likes_to_views_2018,likes_to_views_2020
Autos & Vehicles,0.9460850871631433,5.427100760038331
Travel & Events,1.3777784205943702,4.5445840754472835
Film & Animation,2.173622635411129,5.2910645499763715
News & Politics,2.2438995809449285,1.5825365866552685
Sports,2.321333297401643,2.5017748957749975
Music,2.394882958289144,7.539095259163981
Science & Technology,2.4154975054344145,3.697808115526821
People & Blogs,2.4792579981837273,6.434232571471374
Entertainment,2.5677910481122366,6.5728323606168075
Pets & Animals,2.8827934781708393,5.141837348288912
Education,3.8915387838570146,7.132108028005882
Gaming,4.165292934734008,4.927249432804063
Howto & Style,4.209037566365609,6.166091809732133
Comedy,4.223310460971056,9.078692290168224
Nonprofits & Activism,8.862344714144893,4.146673271713657
