cat_name,likes_2018,likes_2020
Autos & Vehicles,2443068,16478809
Travel & Events,3389090,1421734
News & Politics,8529436,10745366
Sports,66142929,62941905
Film & Animation,78568941,54108427
Science & Technology,36762476,69628219
Entertainment,222917962,447746825
Pets & Animals,10029219,5608519
People & Blogs,80499535,170899127
Gaming,24279681,195585275
Education,22890097,27642739
Music,553470156,1238362701
Comedy,113776570,113942460
Howto & Style,76174702,49216056
Nonprofits & Activism,14716813,651744
