cat_name,likes_to_views_2018,likes_to_views_2020
Autos & Vehicles,0.5599705535658422,5.413169207145246
Travel & Events,1.311384017749655,4.710590394455545
News & Politics,1.344844534206183,1.5205675138067534
Sports,2.3869656452532353,2.2337528480258713
Film & Animation,2.3894200993160264,5.2568093800099955
Science & Technology,2.503385060592149,3.59034298479185
Entertainment,2.5768415645524723,6.278847435687489
Pets & Animals,2.8224950992336395,5.0475309125684475
People & Blogs,3.155135410071526,6.386999324354048
Gaming,3.652009634801849,4.7851191017674815
Education,3.7347612881066286,6.948761094433545
Music,3.9051551282343056,7.220888955310759
Comedy,4.0901066912049115,8.661527802607887
Howto & Style,4.247041578572593,6.115934332496457
Nonprofits & Activism,8.862344714144893,4.146673271713657
